n,caso,k,p,disponibilidade_analitica,disponibilidade_experimental,erro_absoluto
8,k = 1,1,0.2,0.8322278400000002,0.83204,0.0001878400000001612
8,k = 1,1,0.25,0.8998870849609375,0.90033,0.00044291503906246366
8,k = 1,1,0.30000000000000004,0.94235199,0.94203,0.0003219899999999942
8,k = 1,1,0.35000000000000003,0.9681355187109371,0.96884,0.0007044812890629748
8,k = 1,1,0.4,0.98320384,0.98323,2.6159999999997297e-05
8,k = 1,1,0.45,0.9916266062109378,0.9917,7.339378906223715e-05
8,k = 1,1,0.5,0.99609375,0.99617,7.624999999999993e-05
8,k = 1,1,0.55,0.9983184874609375,0.99824,7.848746093752634e-05
8,k = 1,1,0.6000000000000001,0.99934464,0.99932,2.46400000000202e-05
8,k = 1,1,0.65,0.9997748124609376,0.9998,2.518753906244342e-05
8,k = 1,1,0.7000000000000001,0.99993439,0.9999,3.4389999999939747e-05
8,k = 1,1,0.75,0.9999847412109375,1.0,1.52587890625e-05
8,k = 1,1,0.8,0.9999974399999999,1.0,2.560000000095819e-06
8,k = 1,1,0.8500000000000001,0.9999997437109376,1.0,2.562890624169256e-07
8,k = 1,1,0.9,0.99999999,1.0,1.0000000050247593e-08
8,k = 1,1,0.9500000000000001,0.9999999999609376,1.0,3.9062419965318895e-11
8,k = 1,1,1.0,1.0,1.0,0.0
8,k = n/2,4,0.0,0.0,0.0,0.0
8,k = n/2,4,0.05,0.00037175136718750005,0.00035,2.1751367187500053e-05
8,k = n/2,4,0.1,0.00502435,0.00469,0.0003343500000000006
8,k = n/2,4,0.15000000000000002,0.021352470117187505,0.0207,0.000652470117187505
8,k = n/2,4,0.2,0.056281600000000015,0.05635,6.839999999998236e-05
8,k = n/2,4,0.25,0.1138153076171875,0.113,0.0008153076171874968
8,k = n/2,4,0.30000000000000004,0.19410435000000006,0.1927,0.0014043500000000542
8,k = n/2,4,0.35000000000000003,0.2936005638671874,0.29401,0.0004094361328125795
8,k = n/2,4,0.4,0.4059136,0.40776,0.0018464000000000258
8,k = n/2,4,0.45,0.5230436888671877,0.52395,0.0009063111328123652
8,k = n/2,4,0.5,0.63671875,0.63375,0.0029687499999999645
8,k = n/2,4,0.55,0.7396192826171876,0.74053,0.0009107173828124537
8,k = n/2,4,0.6000000000000001,0.8263296000000001,0.82609,0.0002396000000001175
8,k = n/2,4,0.65,0.8939090951171875,0.89361,0.0002990951171875089
8,k = n/2,4,0.7000000000000001,0.9420323500000001,0.94052,0.0015123500000000512
8,k = n/2,4,0.75,0.9727020263671875,0.97189,0.0008120263671874683
8,k = n/2,4,0.8,0.9895936,0.98944,0.00015359999999997598
8,k = n/2,4,0.8500000000000001,0.9971461263671877,0.99731,0.00016387363281233913
8,k = n/2,4,0.9,0.99956835,0.99964,7.164999999997868e-05
8,k = n/2,4,0.9500000000000001,0.9999845951171875,0.99998,4.595117187533582e-06
8,k = n/2,4,1.0,1.0,1.0,0.0
8,k = n,8,0.0,0.0,0.0,0.0
8,k = n,8,0.05,3.906250000000002e-11,0.0,3.906250000000002e-11
8,k = n,8,0.1,1.0000000000000005e-08,0.0,1.0000000000000005e-08
8,k = n,8,0.15000000000000002,2.562890625000003e-07,0.0,2.562890625000003e-07
8,k = n,8,0.2,2.5600000000000013e-06,0.0,2.5600000000000013e-06
8,k = n,8,0.25,1.52587890625e-05,2e-05,4.741210937500002e-06
8,k = n,8,0.30000000000000004,6.561000000000007e-05,5e-05,1.561000000000007e-05
8,k = n,8,0.35000000000000003,0.00022518753906250016,0.00024,1.4812460937499845e-05
8,k = n,8,0.4,0.0006553600000000003,0.00079,0.00013463999999999967
8,k = n,8,0.45,0.0016815125390625004,0.00178,9.848746093749951e-05
8,k = n,8,0.5,0.00390625,0.00378,0.00012625000000000006
8,k = n,8,0.55,0.008373393789062506,0.00901,0.0006366062109374945
8,k = n,8,0.6000000000000001,0.01679616000000002,0.01659,0.00020616000000001772
8,k = n,8,0.65,0.03186448128906251,0.03182,4.448128906250903e-05
8,k = n,8,0.7000000000000001,0.05764801000000004,0.0566,0.0010480100000000436
8,k = n,8,0.75,0.1001129150390625,0.10067,0.0005570849609374956
8,k = n,8,0.8,0.1677721600000001,0.16881,0.001037839999999901
8,k = n,8,0.8500000000000001,0.27249052503906274,0.27313,0.0006394749609372474
8,k = n,8,0.9,0.4304672100000001,0.42898,0.0014872100000001276
8,k = n,8,0.9500000000000001,0.6634204312890629,0.66641,0.0029895687109370295
8,k = n,8,1.0,1.0,1.0,0.0
16,k = 1,1,0.0,0.0,0.0,0.0
16,k = 1,1,0.05,0.5598733313482339,0.55987,3.3313482339369926e-06
16,k = 1,1,0.1,0.8146979811148162,0.81554,0.0008420188851838706
16,k = 1,1,0.15000000000000002,0.9257489137639361,0.92483,0.0009189137639360467
16,k = 1,1,0.2,0.9718525023289354,0.97266,0.0008074976710645831
16,k = 1,1,0.25,0.9899774042423815,0.98967,0.00030740424238140385
16,k = 1,1,0.30000000000000004,0.9966767069430401,0.99674,6.329305695984555e-05
16,k = 1,1,0.35000000000000003,0.9989846548321782,0.99887,0.00011465483217820704
16,k = 1,1,0.4,0.9997178890092545,0.99961,0.00010788900925451372
16,k = 1,1,0.45,0.9999298862764544,0.99997,4.0113723545620594e-05
16,k = 1,1,0.5,0.9999847412109375,0.99999,5.25878906254551e-06
16,k = 1,1,0.55,0.999997172515581,1.0,2.827484419043458e-06
16,k = 1,1,0.6000000000000001,0.9999995705032704,1.0,4.294967296258889e-07
16,k = 1,1,0.65,0.9999999492905721,1.0,5.070942787899213e-08
16,k = 1,1,0.7000000000000001,0.9999999956953279,1.0,4.3046720632489155e-09
16,k = 1,1,0.75,0.9999999997671694,1.0,2.3283064365386963e-10
16,k = 1,1,0.8,0.9999999999934465,1.0,6.5535354920598365e-12
16,k = 1,1,0.8500000000000001,0.9999999999999344,1.0,6.561418075534675e-14
16,k = 1,1,0.9,0.9999999999999999,1.0,1.1102230246251565e-16
16,k = 1,1,0.9500000000000001,1.0,1.0,0.0
16,k = 1,1,1.0,1.0,1.0,0.0
16,k = n/2,8,0.0,0.0,0.0,0.0
16,k = n/2,8,0.05,3.4971946581450657e-07,0.0,3.4971946581450657e-07
16,k = n/2,8,0.1,6.132545293150004e-05,2e-05,4.1325452931500047e-05
16,k = n/2,8,0.15000000000000002,0.0010590036633254067,0.00107,1.0996336674593248e-05
16,k = n/2,8,0.2,0.007003561164800006,0.00754,0.0005364388351999936
16,k = n/2,8,0.25,0.0271299562882632,0.02603,0.0010999562882632007
16,k = n/2,8,0.30000000000000004,0.07435155005257957,0.07487,0.0005184499474204379
16,k = n/2,8,0.35000000000000003,0.15940537111985606,0.15946,5.462888014393097e-05
